Bank,SampleName,Signal,SubtitleKey,FR_Translation
AmbientCivilian,CONVERT_OK_01,68,JWK-Speech-AmbCiv-ConvertOk01,Comptez sur moi. Il est temps que quelqu'un leur tienne tête.
AmbientCivilian,CONVERT_OK_02,69,JWK-Speech-AmbCiv-ConvertOk02,J'ai fini de regarder. Battons-nous.
AmbientCivilian,CONVERT_OK_03,70,JWK-Speech-AmbCiv-ConvertOk03,Dites à votre équipe que je suis prêt. Mettons-nous au travail.
AmbientCivilian,CONVERT_OK_04,71,JWK-Speech-AmbCiv-ConvertOk04,J'en suis. Dites-moi simplement ce qu'il faut faire.
AmbientCivilian,CONVERT_OK_05,72,JWK-Speech-AmbCiv-ConvertOk05,Bien sûr que oui. Mettons-les dans le pétrin.
AmbientCivilian,CONVERT_NL_01,58,JWK-Speech-AmbCiv-ConvertNl01,Déjà intégré. C'est juste que je n'en fais pas la publicité.
AmbientCivilian,CONVERT_NL_02,59,JWK-Speech-AmbCiv-ConvertNl02,Vous n'êtes pas le premier à le demander. Je me suis inscrit il y a un certain temps.
AmbientCivilian,CONVERT_NL_03,60,JWK-Speech-AmbCiv-ConvertNl03,Il faut vraiment que vous vous parliez. Je suis déjà avec vous.
AmbientCivilian,CONVERT_NL_04,61,JWK-Speech-AmbCiv-ConvertNl04,Vous n'avez pas besoin de me convaincre. J'ai déjà saigné pour ça.
AmbientCivilian,CONVERT_NEG_01,62,JWK-Speech-AmbCiv-ConvertNeg01,Cela ressemble à une autre façon de mourir.
AmbientCivilian,CONVERT_NEG_02,63,JWK-Speech-AmbCiv-ConvertNeg02,Le changement ? C'est un conte de fées. J'essaie juste de rester en vie.
AmbientCivilian,CONVERT_NEG_03,64,JWK-Speech-AmbCiv-ConvertNeg03,Dégagez. Je n'ai pas besoin de votre cause ni de vos problèmes.
AmbientCivilian,CONVERT_NEG_04,65,JWK-Speech-AmbCiv-ConvertNeg04,Je ne suis pas fait pour ce genre de choses. Je suis désolée.
AmbientCivilian,CONVERT_NEG_05,66,JWK-Speech-AmbCiv-ConvertNeg05,J'ai essayé une fois. Cela s'est mal terminé.
AmbientCivilian,CONVERT_NEG_06,67,JWK-Speech-AmbCiv-ConvertNeg06,Vous rejoindre ? Je ne suis pas suicidaire.
AmbientCivilian,CONVERT_HOS_01,53,JWK-Speech-AmbCiv-ConvertHos01,Vous êtes une bande de terroristes. Vous devriez être arrêtés.
AmbientCivilian,CONVERT_HOS_02,54,JWK-Speech-AmbCiv-ConvertHos02,"Le régime a apporté l'ordre, et vous, vous ne voulez que le chaos."
AmbientCivilian,CONVERT_HOS_03,55,JWK-Speech-AmbCiv-ConvertHos03,J'espère qu'ils vous trouveront. C'est moi qui pointerai l'arme.
AmbientCivilian,CONVERT_HOS_04,56,JWK-Speech-AmbCiv-ConvertHos04,"Je suis du côté de ceux qui protègent cet endroit, pas du vôtre."
AmbientCivilian,CONVERT_HOS_05,57,JWK-Speech-AmbCiv-ConvertHos05,Je veillerai à ce que les autorités en soient informées.
AmbientCivilian,EXTORT_OK_01,93,JWK-Speech-AmbCiv-ExtortOk01,"D'accord, d'accord ! Ne me faites pas de mal !"
AmbientCivilian,EXTORT_OK_02,94,JWK-Speech-AmbCiv-ExtortOk02,S'il vous plaît... laissez-moi tranquille.
AmbientCivilian,EXTORT_OK_03,95,JWK-Speech-AmbCiv-ExtortOk03,C'était pour les médicaments de mon enfant... mais peu importe. Prends-le.
AmbientCivilian,EXTORT_OK_04,96,JWK-Speech-AmbCiv-ExtortOk04,Vous n'êtes rien d'autre qu'un voyou.
AmbientCivilian,EXTORT_NEG_01,88,JWK-Speech-AmbCiv-ExtortNeg01,C'est censé me faire peur ? Essayez plus fort.
AmbientCivilian,EXTORT_NEG_02,89,JWK-Speech-AmbCiv-ExtortNeg02,"Je n'ai rien pour vous, sauf des regrets."
AmbientCivilian,EXTORT_NEG_03,90,JWK-Speech-AmbCiv-ExtortNeg03,Wow. Extorsion. C'est très original.
AmbientCivilian,EXTORT_NEG_04,91,JWK-Speech-AmbCiv-ExtortNeg04,"Va te faire voir, je n'ai pas peur de toi."
AmbientCivilian,EXTORT_NEG_05,92,JWK-Speech-AmbCiv-ExtortNeg05,Vous n'êtes pas le premier à essayer.
AmbientCivilian,EXTORT_RES_01,97,JWK-Speech-AmbCiv-ExtortRes01,Vous êtes pire que le régime.
AmbientCivilian,EXTORT_RES_02,98,JWK-Speech-AmbCiv-ExtortRes02,"D'accord, mais vous venez de perdre un partisan."
AmbientCivilian,EXTORT_UND_01,99,JWK-Speech-AmbCiv-ExtortUnd01,Je suis sûr que la résistance va payer pour cela.
AmbientCivilian,EXTORT_UND_02,100,JWK-Speech-AmbCiv-ExtortUnd02,Vous n'êtes que des bandits en uniforme.
AmbientCivilian,NO_PANTS_01,117,JWK-Speech-NoPants01,Va te mettre un pantalon avant de me parler.
AmbientCivilian,NO_PANTS_02,118,JWK-Speech-NoPants02,Je ne parle pas à des inconnus à poil.
Default,DIGIT_0,1,zero,zéro
Default,DIGIT_1,2,one,un
Default,DIGIT_2,3,two,deux
Default,DIGIT_3,4,three,trois
Default,DIGIT_4,5,four,quatre
Default,DIGIT_5,6,five,cinq
Default,DIGIT_6,7,six,six
Default,DIGIT_7,8,seven,sept
Default,DIGIT_8,9,eight,huit
Default,DIGIT_9,10,nine,neuf
Default,PHONE_PICKUP_01,27,JWK-Speech-PhonePickup01,"Oui, qui est là ?"
Default,RADIO_CALLOUT_TAIL,40,JWK-Speech-RadioCalloutTail01,"Vous me lisez, terminé ?"
Default,NO_TALK_01,113,JWK-Speech-NoTalk01,Je n'ai rien à te dire.
Default,NO_TALK_02,114,JWK-Speech-NoTalk02,Je suis occupé là.
Default,NO_TALK_03,115,JWK-Speech-NoTalk03,Laisse moi tranquille.
Default,NO_TALK_04,116,JWK-Speech-NoTalk04,Ne me dérange pas.
MilitaryPolice,MP_PHONE_PICKUP,28,JWK-Speech-Side-MilitaryPolicePickup01,Vous avez atteint le poste de la police militaire. Comment puis-je vous aider ?
MilitaryPolice,MP_RESISTANCE_REPORT_REPLY,30,JWK-Speech-Side-ResistanceReportReply01,"Tenez bon, nous vous enverrons quelqu'un immédiatement."
Passphrases,PASSPHRASE_AGATE,200,JWK-Speech-Pass-Agate,Agate.
Passphrases,PASSPHRASE_ALLIGATOR,201,JWK-Speech-Pass-Alligator,Alligator.
Passphrases,PASSPHRASE_AMBER,202,JWK-Speech-Pass-Amber,Ambre.
Passphrases,PASSPHRASE_BEAR,203,JWK-Speech-Pass-Bear,Ours.
Passphrases,PASSPHRASE_DIAMOND,204,JWK-Speech-Pass-Diamond,Diamant.
Passphrases,PASSPHRASE_FOX,205,JWK-Speech-Pass-Fox,Renard.
Passphrases,PASSPHRASE_HAWK,206,JWK-Speech-Pass-Hawk,Faucon.
Passphrases,PASSPHRASE_PEARL,207,JWK-Speech-Pass-Pearl,Perle.
Passphrases,PASSPHRASE_SALAMANDER,208,JWK-Speech-Pass-Salamander,Salamandre.
Passphrases,PASSPHRASE_TOPAZ,209,JWK-Speech-Pass-Topaz,Topaze.
Passphrases,PASSPHRASE_WOLF,210,JWK-Speech-Pass-Wolf,Loup.
Player,MP_REPORT_RESISTANCE_01,29,JWK-Speech-Player-ReportResistance01,"Il y a des gens armés, nous avons peur, pouvez-vous envoyer une patrouille ici ?"
Player,RO_ASK_JOB,31,JWK-Speech-Player-AskJob,Avez-vous quelque chose pour moi ?
Player,Q_PL_INTRO_1,42,JWK-Speech-Player-Intro-1,"Hé, on s'est parlé tout à l'heure. Je veux me joindre au combat."
Player,JOB_REPORT_DONE_01,41,JWK-Speech-Player-JobDone01,Le travail est fait.
Player,JOB_RESIGN_01,119,JWK-Speech-Player-JobResign01,Je ne peux pas faire ce travail.
Player,JOB_RESIGN_02,120,JWK-Speech-Player-JobResign02,Je dois laisser ça à quelqu'un d'autre.
Player,JOB_RESIGN_03,121,JWK-Speech-Player-JobResign03,C'est pas un boulot pour moi.
Player,POSTERS_ASK,48,JWK-Speech-Player-PostersAsk,Vous avez d'autres affiches ?
Player,CIV_CONVERT_01,73,JWK-Speech-Player-CivConvert01,Vous avez l'air de quelqu'un qui en a assez. Rejoignez-nous.
Player,CIV_CONVERT_02,74,JWK-Speech-Player-CivConvert02,J'en ai assez de ces porcs. Vous êtes avec nous ou vous faites que survivre?
Player,CIV_CONVERT_03,75,JWK-Speech-Player-CivConvert03,"Si vous en avez assez de vous cacher, choisissez une cause qui vaut la peine d'y laisser votre vie."
Player,CIV_CONVERT_04,76,JWK-Speech-Player-CivConvert04,Tout le monde n'est pas aveugle à ce qui se passe. Certains d'entre nous agissent.
Player,CIV_CONVERT_05,77,JWK-Speech-Player-CivConvert05,Êtes-vous prêt à faire la différence ? Parce que nous le sommes.
Player,CIV_CONVERT_06,78,JWK-Speech-Player-CivConvert06,"Nous avons le feu, nous avons un but - tout ce qui nous manque, c'est vous."
Player,CIV_CONVERT_07,79,JWK-Speech-Player-CivConvert07,Vous voulez du changement ? Vous ne l'obtiendrez pas en restant les bras croisés. Rejoignez-nous.
